sadness,joy,fear,disgust,anger,score,label_state
0,1,0,0,0,0,1
0.590663,0.01532,0.37,0.168921,0.125539,-0.97857,0
0.037765,0.195448,0.122811,0.010895,0.016848,-0.482948,1
0.340151,0.557155,0.108845,0.008671,0.012607,0.769471,1
0.095158,0.649135,0.018181,0.039644,0.054303,-0.380711,1
0.17169,0.127618,0.144214,0.017062,0.044009,-0.493458,1
0.042083,0.70425,0.021445,0.024167,0.013605,0.949214,1
0.059868,0.716421,0.003768,0.004634,0.008558,0.99889,1
0.011207,0.878699,0.007668,0.001361,0.006516,0.952894,1
0.133592,0.201081,0.080674,0.074342,0.09272,0.962308,1
0.463755,0.123252,0.240709,0.068671,0.24119,-0.316565,1
0.055127,0.770853,0.002356,0.011258,0.023541,0.986151,1
0.250791,0.577674,0.066757,0.084604,0.029593,0,1
0.305612,0.328894,0.183763,0.040917,0.082681,0.790303,1
0.247469,0.203723,0.131956,0.057378,0.106177,-0.832162,1
0.026627,0.794918,0.022168,0.007563,0.012388,0.994316,1
0.710062,0.055336,0.249,0.022855,0.027147,-0.966992,0
0.068703,0.874011,0.007679,0.013212,0.004819,0.998986,1
0.151545,0.174219,0.093654,0.072945,0.08686,-0.578246,1
0.090145,0.028773,0.064757,0.099888,0.606251,-0.938119,0
0.126498,0.227255,0.03286,0.267043,0.456042,0.809895,1
0.51071,0.019201,0.367691,0.184194,0.159733,-0.856149,0
0.094903,0.842707,0.020563,0.019227,0.016585,0.989239,1
0.052862,0.214852,0.033333,0.007609,0.010475,0.965024,1
0.060462,0.761825,0.029321,0.012998,0.019032,0.994098,1
0.07439,0.360877,0.146599,0.031222,0.086019,0,1
0.246552,0.005931,0.416001,0.171003,0.548861,-0.699125,0
0.172265,0.082014,0.030206,0.007914,0.030373,0,1
0.081855,0.454011,0.037632,0.100518,0.331048,0.746566,1
0.232246,0.097016,0.039908,0.014939,0.011059,-0.766652,1
0.064449,0.538809,0.079137,0.004847,0.067276,-0.744086,1
0.010469,0.928415,0.026994,0.006159,0.008373,0.979727,1
0.356514,0.139118,0.251289,0.186258,0.219528,-0.838367,1
0.710284,0.050802,0.183192,0.063699,0.196475,-0.970723,0
0.015251,0.876799,0.039787,0.004301,0.011889,0.929871,1
0.268617,0.021044,0.0916,0.391616,0.572815,-0.814192,0
0.686329,0.112272,0.180823,0.013179,0.088079,-0.930809,0
0.902455,0.009742,0.167787,0.048278,0.032427,-0.626648,1
0.146719,0.583396,0.041491,0.020568,0.11614,0,1
0.242094,0.692491,0.016388,0.014233,0.067708,0.950679,1
0.698032,0.013808,0.210757,0.054981,0.127532,-0.622704,1
0.089474,0.244104,0.110291,0.061493,0.019001,-0.741718,1
0.02862,0.886553,0.011383,0.009164,0.013119,0.861298,1
0.620131,0.024044,0.242648,0.189752,0.215411,-0.898161,0
0.148831,0.179551,0.091248,0.074744,0.088473,-0.793059,1
0.428266,0.031115,0.122519,0.059107,0.640848,-0.975,0
0.243781,0.623957,0.046058,0.084678,0.024795,0.948508,1
0.09163,0.672135,0.075998,0.029196,0.045111,0.956684,1
0.182877,0.05045,0.593353,0.04638,0.373392,-0.907454,0
0.029499,0.35806,0.024704,0.005301,0.021189,0,1
0.510829,0.128479,0.090931,0.054703,0.121739,-0.611645,1
0.008625,0.620472,0.014728,0.002693,0.009586,0.939721,1
0.164749,0.636603,0.106171,0.011641,0.030551,0.755748,1
0.158128,0.648279,0.147659,0.036538,0.025362,0.970863,1
0.070189,0.684522,0.057625,0.021733,0.033655,0.781192,1
0.184772,0.130513,0.10247,0.046582,0.113734,0,1
0.508581,0.263057,0.080863,0.01965,0.06213,-0.928615,1
0.151236,0.000429,0.156672,0.248944,0.750531,-0.942181,0
0.028071,0.799164,0.019576,0.01772,0.008118,0.980958,1
0.135407,0.357703,0.044818,0.014242,0.060165,-0.524005,1
0.014808,0.247327,0.162346,0.10509,0.078287,0.95843,1
0.083919,0.09084,0.027003,0.057647,0.056802,0,1
0.679117,0.082932,0.107783,0.1212,0.148806,-0.77034,1
0.560471,0.004984,0.211828,0.231081,0.363486,-0.961232,0
0.513338,0.057474,0.209022,0.067486,0.195486,0,1
0.55932,0.036098,0.124965,0.023373,0.27632,0,1
0.448237,0.055772,0.036469,0.586911,0.029354,-0.984588,0
0.170313,0.307876,0.051452,0.021336,0.07844,0,1
0.370314,0.037197,0.3423,0.287096,0.165518,-0.946607,0
0.162324,0.362548,0.017932,0.052673,0.009475,0.987942,1
0.520293,0.247611,0.084687,0.084846,0.114929,-0.952038,1
0.876427,0.008988,0.055748,0.145215,0.131894,-0.975031,0
0.4344,0.114531,0.075642,0.041693,0.216081,-0.338996,1
0.325245,0.100332,0.048724,0.030915,0.101071,-0.706548,1
0.462408,0.017276,0.050749,0.052592,0.676209,-0.961774,0
0.219883,0.033877,0.187091,0.143714,0.685616,-0.882772,0
0.225079,0.167364,0.120007,0.029869,0.099784,-0.621554,1
0.013028,0.862755,0.006569,0.01968,0.015892,0.962199,1
0.057704,0.863629,0.019082,0.009361,0.021965,0.819096,1
0.156397,0.681669,0.010419,0.015206,0.027942,0.979353,1
0.029974,0.618297,0.035954,0.008893,0.052528,0.876932,1
0.036285,0.862294,0.004227,0.001388,0.019352,0.992979,1
0.019741,0.911722,0.023757,0.00356,0.010595,0.994078,1
0.543801,0.03333,0.228639,0.044061,0.381741,-0.884334,0
0.549481,0.020843,0.096425,0.037817,0.031205,-0.963403,0
0.187271,0.06264,0.150613,0.045119,0.151962,0,1
0.323516,0.039165,0.054995,0.204799,0.618417,-0.989699,0
0.060919,0.17459,0.045573,0.039588,0.058119,-0.736338,1
0.080895,0.230209,0.153044,0.01291,0.021337,0,1
0.065517,0.64021,0.032462,0.042975,0.178819,0.942408,1
0.147438,0.27571,0.027128,0.044549,0.038039,0.689274,1
0.029396,0.868803,0.015333,0.009748,0.01099,0.990569,1
0.664963,0.012399,0.170941,0.048555,0.344883,-0.784896,0
0.138011,0.46409,0.095166,0.105042,0.087812,0.803996,1
0.046513,0.688169,0.004494,0.059214,0.042435,0.900051,1
0.023554,0.652475,0.21532,0.023152,0.125787,0.635081,1
0.062792,0.771617,0.042992,0.090418,0.019563,0.960602,1
0.014681,0.452055,0.002415,0.003774,0.004076,0.948151,1
0.167349,0.446816,0.06763,0.254041,0.014598,-0.899795,1
0.622506,0.013622,0.167468,0.257649,0.181195,-0.950443,0
0.120552,0.01549,0.896749,0.023793,0.10105,-0.979243,0
0.005826,0.957561,0.016407,0.002496,0.003083,0.962802,1
0.01235,0.910084,0.005009,0.026399,0.010001,0.988209,1
0.020385,0.859486,0.042866,0.014026,0.011379,0.899033,1
0.019192,0.930997,0.009071,0.004952,0.006508,0.987477,1
0.479364,0.215838,0.098525,0.148583,0.120569,-0.705917,1
0.053206,0.75777,0.063436,0.010864,0.016724,0.992852,1
0.679664,0.072566,0.197761,0.028004,0.031105,-0.892965,0
0.172169,0.750052,0.023887,0.017926,0.020143,0.986302,1
0.128114,0.435876,0.097545,0.034151,0.166876,0,1
0.049988,0.802743,0.002217,0.003029,0.005935,0.973434,1
0.125412,0.252197,0.096963,0.362351,0.283215,-0.8892,1
0.002327,0.5448,0.00394,0.000636,0.001525,0.821631,1
0.451935,0.05718,0.267854,0.206667,0.156176,0,1
0.093214,0.517887,0.039809,0.018448,0.02147,0.996058,1
0.169153,0.33172,0.052182,0.089291,0.269393,0,1
0.064528,0.736234,0.043582,0.054398,0.058178,0.732519,1
0.276481,0.007282,0.361245,0.304754,0.316812,-0.647053,1
0.058525,0.671278,0.140909,0.008131,0.019042,0.964956,1
0.414833,0.009944,0.149919,0.337892,0.467322,-0.932323,0
0.049139,0.837566,0.047035,0.0049,0.023732,0.940804,1
0.060722,0.570893,0.001806,0.007841,0.02657,0.998004,1
0.267597,0.630607,0.042668,0.019753,0.05673,0.719119,1
0.080166,0.739764,0.006063,0.000406,0.00461,0.935942,1
0.027908,0.873108,0.014887,0.010456,0.015966,0.924795,1
0.162084,0.626144,0.050321,0.074014,0.050872,-0.713349,1
0.027961,0.321129,0.032158,0.015811,0.036758,0.710211,1
0.078299,0.809375,0.053532,0.017652,0.006235,0.955522,1
0.015251,0.876799,0.039787,0.004301,0.011889,0.929871,1
0.250135,0.084041,0.045922,0.014477,0.010965,-0.531061,1
0.840293,0.008715,0.105822,0.161951,0.118756,-0.898671,0
0.171575,0.747102,0.014753,0.011751,0.036528,0.987635,1
0.017976,0.865374,0.039505,0.00446,0.010811,0.929871,1
0.148831,0.179551,0.091248,0.074744,0.088473,-0.584296,1
0.020903,0.853977,0.010547,0.020664,0.01899,0.954385,1
0.195879,0.065591,0.152425,0.051929,0.222488,0,1
0.072696,0.816637,0.078982,0.019954,0.025529,0.9542,1
0.012829,0.828048,0.084815,0.029427,0.029937,0.546074,1
0.417719,0.025055,0.253404,0.117227,0.524759,-0.35521,1
0.226695,0.178996,0.06406,0.053688,0.076445,0.903362,1
0.315938,0.003872,0.108778,0.368638,0.442784,-0.96903,0
0.241133,0.380333,0.059018,0.106442,0.053193,0,1
0.184772,0.130513,0.10247,0.046582,0.113734,0,1
0.103805,0.42065,0.150796,0.046699,0.133755,0.888036,1
0.19842,0.261458,0.05837,0.308521,0.157294,-0.820457,1
0.127946,0.753695,0.040773,0.011179,0.007282,0.974006,1
0.028775,0.611057,0.025744,0.017118,0.019952,0.996928,1
0.053206,0.75777,0.063436,0.010864,0.016724,0.984416,1
0.333755,0.069685,0.08621,0.393029,0.243263,-0.913556,0
0.192538,0.561748,0.04599,0.096247,0.141422,-0.31072,1
0.254221,0.261104,0.140466,0.090163,0.103348,-0.730097,1
0.241738,0.570898,0.100168,0.018808,0.052984,0.886305,1
0.138019,0.147743,0.06913,0.009405,0.102959,-0.803355,1
0.145443,0.30799,0.111304,0.028842,0.166769,0,1
0.193474,0.291116,0.101888,0.067899,0.185743,0.627897,1
0.158306,0.141818,0.00712,0.065167,0.04922,0,1
0.090113,0.115343,0.147543,0.019222,0.016199,-0.945767,1
0.257113,0.540832,0.038594,0.015245,0.043056,0.640789,1
0.041421,0.131169,0.135982,0.030421,0.312471,-0.834304,1
0.323883,0.134878,0.13817,0.133261,0.192437,-0.795521,1
0.006844,0.818204,0.002103,0.000758,0.002064,0.864441,1
0.014269,0.879749,0.00332,0.006402,0.001935,0.992481,1
0.172141,0.18072,0.034263,0.013374,0.334794,-0.949881,1
0.172043,0.177312,0.117434,0.077654,0.090723,-0.859233,1
0.099018,0.508049,0.123556,0.004658,0.017295,0.558336,1
0.377424,0.105193,0.266734,0.080106,0.157548,-0.868449,1
0.448431,0.176712,0.017057,0.174083,0.031875,-0.490337,1
0.111331,0.115082,0.026461,0.070387,0.155506,-0.668541,1
0.665776,0.144539,0.210877,0.012829,0.012752,-0.793037,1
0.367869,0.001117,0.198153,0.107406,0.619146,-0.952992,0
0.727957,0.006001,0.037473,0.080838,0.303508,-0.922193,0
0,0.851351,0,0,0,0.88261,1
0.489304,0.103646,0.110408,0.015314,0.022441,0.520861,1
0.047744,0.828401,0.009976,0.028474,0.017857,0.981943,1
0.118857,0.539116,0.09091,0.023786,0.276783,0.944818,1
0.148415,0.254159,0.261345,0.03003,0.115432,-0.304468,1
0.493995,0.03507,0.100538,0.043,0.092404,-0.552276,1
0.543743,0.035792,0.11356,0.194321,0.399258,-0.791652,0
0.916667,0,0,0,0,-0.989002,0
0.407802,0.113685,0.158093,0.115557,0.182985,0.726418,1
0.231363,0.371258,0.032773,0.036086,0.476555,-0.949896,1
0.014618,0.884236,0.014861,0.036182,0.022311,0.99227,1
1,0,0,0,0,-0.808869,0
0.463007,0.028308,0.138107,0.142678,0.557554,-0.955581,0
0.088938,0.737876,0.056066,0.008181,0.015572,0.962812,1
0.361731,0.004238,0.066448,0.181236,0.674628,-0.987789,0
0.589845,0.168777,0.183264,0.051688,0.184122,0.870393,1
0.445783,0.013603,0.180349,0.272114,0.316182,-0.920909,0
0.047839,0.798969,0.056954,0.018718,0.03545,0.952481,1
0.062393,0.761551,0.144219,0.006564,0.037454,0.964085,1
0.332325,0.0163,0.127705,0.041797,0.050505,-0.756513,1
0.580125,0.020223,0.080479,0.15307,0.371996,0,1
0.137871,0.46511,0.141953,0.037387,0.054357,0.981367,1
0.424742,0.026043,0.127279,0.307796,0.192916,-0.914963,0
0.008845,0.446793,0.027528,0.0061,0.00525,0,1
0.032035,0.554371,0.04085,0.010778,0.011127,0.863749,1
0.092512,0.480015,0.176252,0.036531,0.029829,0,1
0.597354,0.029722,0.099359,0.179971,0.373417,-0.932719,0
0.191437,0.245088,0.283408,0.105897,0.31718,0.640409,1
0.096856,0.462072,0.118299,0.04517,0.074102,0,1
0.008043,0.87491,0.038027,0.009913,0.025219,0.97062,1
0.077644,0.469897,0.048184,0.038523,0.036895,0.841147,1
0.52294,0.028737,0.361192,0.148555,0.284328,-0.887386,0
0.072513,0.592003,0.116418,0.030751,0.096359,0,1
0.002647,0.717786,0.006137,0.000736,0.000991,0.965292,1
0.352366,0.030237,0.091626,0.381126,0.455107,-0.918134,0
0.556317,0.141086,0.052145,0.005584,0.132881,0.700773,1
0.016393,0.941941,0.006306,0.00244,0.009262,0.877477,1
